2000		04137 17th St.	Gotham	Bear	IN	U.S.A.	28340	1-(800)4820133	x350	P
2001		8735 Violet St.	St. James	Night	NY	U.S.A.	10580	1-(800)7682385	x65368	P
2002		06 32nd Ave.	Hazzard	Orange	IN	U.S.A.	29020	3162626289	x2328	P
2003		68 Liszt Lane	Elmdale	Club	GA	U.S.A.	25980	4966819126	x115	P
2004		196 26th St.	Maplewood	Island	NC	U.S.A.	24660	2684078287	x8545	P
2005		8627 Strauss Ave.	Pine City	Silver	KY	U.S.A.	23180	3364778646	x7875	P
2006		994 1st St.	St. James	Brown	NC	U.S.A.	11700	1206754729	x30668	P
2007		609 Mahler Rd.	Rivertown	Club	KY	U.S.A.	17140	1784201112	x1440	P
2008		1551 Maroon St.	Oak Lake	Monkey	MI	U.S.A.	22420	2209642206	x05319	P
2009		3127 29th Ave.	Hazzard	Joker	MN	U.S.A.	22060	3787867534	x4856	P
2010		531 77th Ave.	Martyville	Monkey	TX	U.S.A.	24180	2065037305	x73002	P
2011		99584 Black St.	Little Forest	Blue	CA	U.S.A.	46020	1-(800)3954234	x259	P
2012		77744 66th St.	Kankakee	Club	IL	U.S.A.	28100	1762454854	x57382	P
2013		1270 31st St.	Little River	Silver	GA	U.S.A.	25980	1-(800)6984034	x2929	P
2014		50 96th St.	Johnsonville	Leo	WI	U.S.A.	31540	3585939346	x31076	P
2015		468 39th St.	Thompsonville	Green	MI	U.S.A.	24340	2668573597	x638	P
2016		7790 12nd St.	Elmdale	Club	GA	U.S.A.	12060	1228230152	x44298	P
2017		86 Elm St.	Gotham	Taurus	NJ	U.S.A.	47220	1-(800)8709783	x7298	P
2018		42 Azul St.	Forest Lake	Spade	PA	U.S.A.	38300	4304043601	x807	P
2019		673 Rossini Rd.	Mediumville	Neptune	MI	U.S.A.	34740	2666588806	x20323	P
2020		07 60th St.	Applewood	Heart	NC	U.S.A.	14820	1204877248	x22622	P
2021		07550 99th St.	St. Mark	Silver	MI	U.S.A.	19820	2202912010	x9026	P
2022		722 69th St.	Birchwood	Squirrel	SC	U.S.A.	23860	3969262492	x932	P
2023		43 40th Ave.	Maple River	Venus	CA	U.S.A.	41860	1-(800)4925740	x3180	P
2024		5062 Apple Ave.	Venice	Grey	WA	U.S.A.	42660	5007247592	x3344	P
2025		43 Beige St.	Pine City	Squirrel	OR	U.S.A.	13460	1409072263	x457	P
2026		9546 35th Ave.	Hamburg	Rose	TX	U.S.A.	15180	1544363504	x1247	P
2027		6247 Sunfish Ln.	Sunnydale	Squirrel	AL	U.S.A.	46740	1-(800)9319522	x765	P
2028		805 35th St.	Harrisville	Ten	CA	U.S.A.	41940	1-(800)3447515	x1829	P
2029		93130 99th St.	Rivertown	Club	IN	U.S.A.	42500	1-(800)4544316	x2119	P
2030		196 Dvorak Rd.	Lillydale	Neptune	MA	U.S.A.	49340	1484933821	x8750	P
2031		61685 80th Ave.	Oaktown	Zebra	OK	U.S.A.	43060	4162437612	x555	P
2032		4263 Oak Ave.	St. Mark	Wombat	OH	U.S.A.	20620	1-(800)3004070	x9285	P
2033		641 27th Ave.	Maplewood	Mars	CA	U.S.A.	42220	1-(800)9616216	x231	P
2034		45 Mendelssohn Ave.	Martyville	Shark	CA	U.S.A.	40140	1-(800)4790339	x7111	P
2035		07799 70th St.	St. James	Day	SC	U.S.A.	46420	5168494214	x197	P
2036		5114 44th St.	Lake City	Simple	KY	U.S.A.	30460	3366456529	x6109	P
2037		7070 82nd St.	Lake View	Ten	WI	U.S.A.	16980	1-(800)7448060	x26344	P
2038		345 23rd St.	St. James	Rose	IA	U.S.A.	14340	1125639030	x8876	P
2039		50122 45th St.	Laketown	Quark	OH	U.S.A.	24820	2127625676	x10141	P
2040		36267 Green St.	Hampton	Leo	TX	U.S.A.	32220	3468103173	x8792	P
2041		28 Pike Dr.	Little Forest	Mercury	OH	U.S.A.	23380	5348728623	x308	P
