2012	Dove	Sparrow	Sparrow
2013	Eagle	Condor	Condor
2014	Robin	Hawk	Dove
2015	Blue Jay	Condor	Eagle
2016	Dove	Dove	Blue Jay
2017	Robin	Blue Jay	Blue Jay
2018	Eagle	Blue Jay	Dodo
2019	Sparrow	Falcon	Hawk
2020	Robin	Falcon	Sparrow
2021	Dodo	Condor	Falcon
2022	Robin	Falcon	Hawk
2023	Dodo	Eagle	Falcon
2024	Robin	Dove	Dodo
2025	Condor	Robin	Dove
2026	Eagle	Dodo	Eagle
2027	Blue Jay	Sparrow	Hawk
2028	Dove	Sparrow	Dodo
2029	Sparrow	Eagle	Condor
2030	Dove	Dove	Eagle
2031	Dodo	Falcon	Falcon
2032	Hawk	Falcon	Falcon
2033	Hawk	Falcon	Condor
2034	Hawk	Hawk	Sparrow
2035	Condor	Robin	Dodo
2036	Eagle	Eagle	Eagle
2037	Eagle	Hawk	Blue Jay
2038	Blue Jay	Robin	Robin
2039	Blue Jay	Sparrow	Condor
2040	Blue Jay	Dove	Falcon
2041	Blue Jay	Dove	Condor
2042	Robin	Eagle	Dove
2043	Eagle	Dodo	Hawk
2044	Robin	Blue Jay	Robin
2045	Dodo	Dodo	Blue Jay
2046	Falcon	Hawk	Eagle
2047	Dove	Robin	Dodo
2048	Condor	Blue Jay	Condor
2049	Falcon	Sparrow	Eagle
2050	Sparrow	Condor	Sparrow
2051	Dodo	Dove	Hawk
2052	Hawk	Falcon	Condor
2053	Blue Jay	Hawk	Dove
2054	Falcon	Sparrow	Robin
2055	Dove	Condor	Dodo
2056	Blue Jay	Sparrow	Dove
2057	Blue Jay	Eagle	Dove
2058	Sparrow	Condor	Condor
2059	Falcon	Robin	Sparrow
2060	Falcon	Condor	Eagle
2061	Sparrow	Condor	Dove
2062	Dove	Robin	Eagle
2063	Blue Jay	Dodo	Dove
2064	Condor	Hawk	Eagle
2065	Sparrow	Blue Jay	Hawk
2066	Robin	Eagle	Hawk
2067	Hawk	Eagle	Robin
2068	Condor	Condor	Blue Jay
2069	Robin	Blue Jay	Robin
2070	Falcon	Hawk	Dove
2071	Dove	Falcon	Blue Jay
2072	Condor	Blue Jay	Condor
2073	Dove	Dove	Hawk
2074	Blue Jay	Dodo	Falcon
2075	Hawk	Eagle	Falcon
2076	Blue Jay	Eagle	Dodo
2077	Dove	Robin	Dove
2078	Dove	Sparrow	Falcon
2079	Condor	Dove	Condor
2080	Dove	Falcon	Dodo
2081	Condor	Dove	Blue Jay
2082	Hawk	Blue Jay	Blue Jay
2083	Dove	Blue Jay	Eagle
2084	Falcon	Blue Jay	Dove
2085	Sparrow	Robin	Falcon
2086	Blue Jay	Sparrow	Eagle
2087	Dove	Eagle	Blue Jay
2088	Eagle	Robin	Hawk
2089	Dove	Falcon	Dodo
2090	Blue Jay	Sparrow	Eagle
2091	Sparrow	Robin	Condor
2092	Eagle	Falcon	Blue Jay
2093	Dodo	Robin	Dodo
2094	Falcon	Dodo	Eagle
2095	Hawk	Hawk	Dodo
2096	Robin	Sparrow	Condor
2097	Robin	Condor	Blue Jay
2098	Falcon	Dodo	Blue Jay
2099	Hawk	Blue Jay	Dodo
