10	KR12345QV	82 Red St.	Mediumville	WI	33340-2097
11	AK12346FV	15126 34th St.	Rosewood	AL	46740-0274
12	CM12347CT	76452 24th St.	Johnsonville	SC	24860-2376
13	GW12348LV	02466 30th Ave.	Brighton	TN	34100-5511
14	HJ12349DU	0009 81st Ave.	Phoenix	WI	13180-0330
15	GO12350GY	83034 58th St.	Harrisville	GA	31420-1697
16	FN12351GR	9098 Bizet Blvd.	Brighton	MN	26780-8888
17	IL12352DY	14 Mauve St.	Birch City	SC	17900-2052
18	NL12353FQ	65 94th St.	Little Rock	WI	39540-8603
19	BR12354FT	60 15th Ave.	Martyville	OH	17060-3902
20	MK12355GP	599 68th Ave.	Metropolis	CA	40900-5363
21	FR12356EP	1259 7th St.	Huntsville	TX	26660-8245
22	FY12357EP	33860 9th St.	Little Rock	MS	25060-5700
23	EM12358JX	88090 Blue Spruce Dr.	Thompsonville	LA	14220-3700
24	IY12359LL	32242 26th Ave.	Brookdale	VA	49020-8706
25	GP12360LW	93941 48th Ave.	Pine City	LA	35380-9289
26	CS12361FS	2282 59th Ave.	Oakland	CA	41860-4187
27	BW12362LY	32030 90th Ave.	River City	MI	26100-7871
28	DY12363IP	917 Orange St.	St. Mark	WI	36780-7799
29	AR12364KS	45 16th Ave.	Little Forest	TX	19100-0947
30	AM12365KV	495 25th Ave.	Riverdale	LA	33740-6452
31	OJ12366GS	7591 26th Ave.	Pine River	NC	41580-0269
32	NL12367CY	161 16th St.	Hampton	CA	31100-1302
33	NY12368MW	103 21st St.	Littleton	NC	49180-6732
34	LW12369GR	6195 95th Ave.	St. James	NM	17580-1521
35	CW12370HP	9867 74th St.	Johnsonville	MO	16020-4290
36	DM12371OT	81 Banana Ave.	Maple Lake	KY	37140-3281
37	LP12372KQ	91 24th St.	Valley View	OH	18140-3568
38	CS12373OQ	719 Smaug St.	East Liverpool	OH	20620-3915
39	NL12374LY	776 Redwood Pl.	Oshkosh	WI	36780-1295
40	NL12375QO	7291 28th Ave.	Riverdale	SC	11340-1667
41	HJ12376MT	1187 48th St.	Sunnyville	CA	42100-7978
