24567	Lease	Ruby	The Ruby Lease Plan	This is a Lease offered at a Ruby Level	36	13.1
24568	Cash	Bronze	The Bronze Cash Plan	This is a Cash offered at a Bronze Level	1	0.0
24569	Special	Emerald	The Emerald Special Plan	This is a Special offered at a Emerald Level	60	1.5
24570	Installment	Quartz	The Quartz Installment Plan	This is a Installment offered at a Quartz Level	36	17.8
24571	Special	Pearl	The Pearl Special Plan	This is a Special offered at a Pearl Level	48	9.9
24572	Installment	Ruby	The Ruby Installment Plan	This is a Installment offered at a Ruby Level	48	4.5
24573	Loan	Ruby	The Ruby Loan Plan	This is a Loan offered at a Ruby Level	48	6.3
24574	Installment	Standard	The Standard Installment Plan	This is a Installment offered at a Standard Level	48	1.6
24575	Promotion	Gold	The Gold Promotion Plan	This is a Promotion offered at a Gold Level	36	7.3
24576	Loan	Taconite	The Taconite Loan Plan	This is a Loan offered at a Taconite Level	60	12.3
24577	Installment	Gold	The Gold Installment Plan	This is a Installment offered at a Gold Level	60	1.2
24578	Installment	Emerald	The Emerald Installment Plan	This is a Installment offered at a Emerald Level	36	1.2
24579	Lease	Quartz	The Quartz Lease Plan	This is a Lease offered at a Quartz Level	60	15.6
24580	Promotion	Ruby	The Ruby Promotion Plan	This is a Promotion offered at a Ruby Level	48	3.1
24581	Cash	Taconite	The Taconite Cash Plan	This is a Cash offered at a Taconite Level	1	0.0
24582	Special	Pearl	The Pearl Special Plan	This is a Special offered at a Pearl Level	48	2.9
24583	Loan	Taconite	The Taconite Loan Plan	This is a Loan offered at a Taconite Level	36	14.3
24584	Special	Diamond	The Diamond Special Plan	This is a Special offered at a Diamond Level	60	11.8
24585	Loan	Standard	The Standard Loan Plan	This is a Loan offered at a Standard Level	48	2.5
24586	Special	Emerald	The Emerald Special Plan	This is a Special offered at a Emerald Level	60	13.4
24587	Lease	Quartz	The Quartz Lease Plan	This is a Lease offered at a Quartz Level	36	11.8
24588	Lease	Quartz	The Quartz Lease Plan	This is a Lease offered at a Quartz Level	60	2.9
24589	Cash	Silver	The Silver Cash Plan	This is a Cash offered at a Silver Level	1	0.0
24590	Lease	Quartz	The Quartz Lease Plan	This is a Lease offered at a Quartz Level	36	1.5
24591	Special	Pearl	The Pearl Special Plan	This is a Special offered at a Pearl Level	36	4.8
24592	Special	Quartz	The Quartz Special Plan	This is a Special offered at a Quartz Level	36	17.1
24593	Special	Diamond	The Diamond Special Plan	This is a Special offered at a Diamond Level	36	13.9
24594	Loan	Ruby	The Ruby Loan Plan	This is a Loan offered at a Ruby Level	60	15.2
24595	Cash	Gold	The Gold Cash Plan	This is a Cash offered at a Gold Level	1	0.0
24596	Promotion	Diamond	The Diamond Promotion Plan	This is a Promotion offered at a Diamond Level	48	11.9
24597	Lease	Diamond	The Diamond Lease Plan	This is a Lease offered at a Diamond Level	60	1.1
24598	Limited Offer	Emerald	The Emerald Limited Offer Plan	This is a Limited Offer offered at a Emerald Level	48	14.4
24599	Promotion	Diamond	The Diamond Promotion Plan	This is a Promotion offered at a Diamond Level	48	18.2
24600	Promotion	Standard	The Standard Promotion Plan	This is a Promotion offered at a Standard Level	36	13.4
24601	Special	Standard	The Standard Special Plan	This is a Special offered at a Standard Level	36	10.8
24602	Lease	Silver	The Silver Lease Plan	This is a Lease offered at a Silver Level	48	16.8
24603	Promotion	Quartz	The Quartz Promotion Plan	This is a Promotion offered at a Quartz Level	36	18.3
24604	Special	Pearl	The Pearl Special Plan	This is a Special offered at a Pearl Level	48	10.3
24605	Loan	Emerald	The Emerald Loan Plan	This is a Loan offered at a Emerald Level	48	1.0
24606	Lease	Emerald	The Emerald Lease Plan	This is a Lease offered at a Emerald Level	60	4.2
