102	Albany-Corvallis-Lebanon, OR	A description of the Albany-Corvallis-Lebanon, OR MSA	181222
104	Albany-Schenectady-Amsterdam, NY	A description of the Albany-Schenectady-Amsterdam, NY MSA	1118095
112	Ames-Boone, IA	A description of the Ames-Boone, IA MSA	106205
118	Appleton-Oshkosh-Neenah, WI	A description of the Appleton-Oshkosh-Neenah, WI MSA	358365
120	Asheville-Brevard, NC	A description of the Asheville-Brevard, NC MSA	398505
122	Atlanta-Sandy Springs-Gainesville, GA-AL	A description of the Atlanta-Sandy Springs-Gainesville, GA-AL MSA	4548344
132	Baton Rouge-Pierre Part, LA	A description of the Baton Rouge-Pierre Part, LA MSA	729361
138	Beckley-Oak Hill, WV	A description of the Beckley-Oak Hill, WV MSA	126799
140	Bend-Prineville, OR	A description of the Bend-Prineville, OR MSA	134549
142	Birmingham-Hoover-Cullman, AL	A description of the Birmingham-Hoover-Cullman, AL MSA	1129721
148	Boston-Worcester-Manchester, MA-NH	A description of the Boston-Worcester-Manchester, MA-NH MSA	5715698
154	Brownsville-Harlingen-Raymondville, TX	A description of the Brownsville-Harlingen-Raymondville, TX MSA	355309
164	Cape Girardeau-Sikeston-Jackson, MO-IL	A description of the Cape Girardeau-Sikeston-Jackson, MO-IL MSA	130734
172	Charlotte-Gastonia-Salisbury, NC-SC	A description of the Charlotte-Gastonia-Salisbury, NC-SC MSA	1897034
174	Chattanooga-Cleveland-Athens, TN-GA	A description of the Chattanooga-Cleveland-Athens, TN-GA MSA	629561
176	Chicago-Naperville-Michigan City, IL-IN-WI	A description of the Chicago-Naperville-Michigan City, IL-IN-WI MSA	9312255
178	Cincinnati-Middletown-Wilmington, OH-KY-IN	A description of the Cincinnati-Middletown-Wilmington, OH-KY-IN MSA	2050175
184	Cleveland-Akron-Elyria, OH	A description of the Cleveland-Akron-Elyria, OH MSA	2945831
188	Clovis-Portales, NM	A description of the Clovis-Portales, NM MSA	63062
192	Columbia-Newberry, SC	A description of the Columbia-Newberry, SC MSA	683266
194	Columbus-Auburn-Opelika, GA-AL	A description of the Columbus-Auburn-Opelika, GA-AL MSA	420965
198	Columbus-Marion-Chillicothe, OH	A description of the Columbus-Marion-Chillicothe, OH MSA	1835189
202	Corbin-London, KY	A description of the Corbin-London, KY MSA	88580
204	Corpus Christi-Kingsville, TX	A description of the Corpus Christi-Kingsville, TX MSA	435243
206	Dallas-Fort Worth, TX	A description of the Dallas-Fort Worth, TX MSA	5346119
212	Dayton-Springfield-Greenville, OH	A description of the Dayton-Springfield-Greenville, OH MSA	1085094
214	Deltona-Daytona Beach-Palm Coast, FL	A description of the Deltona-Daytona Beach-Palm Coast, FL MSA	493175
216	Denver-Aurora-Boulder, CO	A description of the Denver-Aurora-Boulder, CO MSA	2449054
218	Des Moines-Newton, IA	A description of the Des Moines-Newton, IA MSA	518607
220	Detroit-Warren-Flint, MI	A description of the Detroit-Warren-Flint, MI MSA	5357538
222	Dothan-Enterprise-Ozark, AL	A description of the Dothan-Enterprise-Ozark, AL MSA	223605
232	Eau Claire-Menomonie, WI	A description of the Eau Claire-Menomonie, WI MSA	188195
242	Fairmont-Clarksburg, WV	A description of the Fairmont-Clarksburg, WV MSA	148742
244	Fargo-Wahpeton, ND-MN	A description of the Fargo-Wahpeton, ND-MN MSA	199503
248	Findlay-Tiffin-Fostoria, OH	A description of the Findlay-Tiffin-Fostoria, OH MSA	129978
252	Fond du Lac-Beaver Dam, WI	A description of the Fond du Lac-Beaver Dam, WI MSA	183193
256	Fort Polk South-De Ridder, LA	A description of the Fort Polk South-De Ridder, LA MSA	85517
258	Fort Wayne-Huntington-Auburn, IN	A description of the Fort Wayne-Huntington-Auburn, IN MSA	548416
260	Fresno-Madera, CA	A description of the Fresno-Madera, CA MSA	922516
266	Grand Rapids-Muskegon-Holland, MI	A description of the Grand Rapids-Muskegon-Holland, MI MSA	1254661
268	Greensboro--Winston-Salem--High Point, NC	A description of the Greensboro--Winston-Salem--High Point, NC MSA	1283856
272	Greenville-Anderson-Seneca, SC	A description of the Greenville-Anderson-Seneca, SC MSA	791895
274	Gulfport-Biloxi-Pascagoula, MS	A description of the Gulfport-Biloxi-Pascagoula, MS MSA	396754
276	Harrisburg-Carlisle-Lebanon, PA	A description of the Harrisburg-Carlisle-Lebanon, PA MSA	629401
278	Hartford-West Hartford-Willimantic, CT	A description of the Hartford-West Hartford-Willimantic, CT MSA	1257709
288	Houston-Baytown-Huntsville, TX	A description of the Houston-Baytown-Huntsville, TX MSA	4815122
290	Huntsville-Decatur, AL	A description of the Huntsville-Decatur, AL MSA	488243
292	Idaho Falls-Blackfoot, ID	A description of the Idaho Falls-Blackfoot, ID MSA	143412
294	Indianapolis-Anderson-Columbus, IN	A description of the Indianapolis-Anderson-Columbus, IN MSA	1843588
296	Ithaca-Cortland, NY	A description of the Ithaca-Cortland, NY MSA	145100
298	Jackson-Yazoo City, MS	A description of the Jackson-Yazoo City, MS MSA	525346
304	Johnson City-Kingsport-Bristol, TN-VA	A description of the Johnson City-Kingsport-Bristol, TN-VA MSA	480091
