startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,QID2,QID2_6_TEXT,QID3,QID4,QID25,QID31_1,QID31_2,QID31_3,QID5,QID7_1,QID7_2,QID7_3,QID7_4,QID7_5,QID7_6,QID9,QID11,QID12,QID13,QID13_6_TEXT,QID14,QID15,QID27_TEXT,QID28_TEXT,QID16_1,QID16_2,QID20,QID21,QID19_1,QID19_2,QID19_3,QID19_4,QID19_5,QID19_6,QID19_7
11/7/16 12:32,11/7/16 12:32,Survey Test,,100,0,TRUE,11/7/16 12:32,R_dnXSVwSoB1SNIVf,,,,,44.97590637,-93.21659851,test,,,"African American & African Studies,Classical Civilization Program,Classical and Near Eastern Studies,Communication Studies,Community Service-Learning Center,Cultural Studies and Comparative Literature,Economics,English,French and Italian,Gender, Women, and Sexuality Studies,Geography, Environment and Society,American Indian Studies,German, Scandinavian and Dutch,History,Human Rights Program,Journalism and Mass Communication, School of,Life Course Center,Linguistics, Institute of,Minnesota Journalism Center,Music, School of,New Media Studies, Institute for,American Studies,Off-Campus Study Programs,Philosophy,Psychology,Religious Studies,Silha Center-Study of Media Ethics and Law,Slavic Languages and Literatures,Sociology,Spanish and Portuguese Studies,Speech-Language-Hearing Science,Statistics, School of,Theatre Arts and Dance,Urban Studies,Writing Studies,Writing, Center for,Art,Art History,Asian American Studies Program,Asian Languages and Literature Program,Chicano & Latino Studies",Mostly quantitative,,52,52,43,"Data automatically generated from or by computer programs (e.g., simulations),Fieldwork data,Laboratory notes,Photo collection,Video tapes,Audio tapes,Slides,Documents or reports,Patient records,Other (please specify),Data collected from sensors or instruments (including questionnaires),Images, scans or x-rays,Websites,MS Word files,Excel sheets,SPSS, STATA, SAS, or R files,Digital audio files,Digital video files",,I would like more support,,,,,"The graduate student working on the project,Other (please specify)",None of my data are openly available at this time,"lack of funding,worried about getting ""scooped"" (e.g., someone else publishing on your data/ideas before you do),other (please describe),lack of a standard in my field,don't know how,insufficient time to make them available,sponsor doesn't require sharing",other (please describe),Interdum convallis sollicitudin risus. Facilisi in nunc praesent risus sapien.,Don't know,,,,9999,1,No,No,Somewhat useful,,Never used,,Never used,,
11/7/16 12:32,11/7/16 12:32,Survey Test,,100,0,TRUE,11/7/16 12:32,R_1ELMbn5XCkyDZOd,,,,,44.97590637,-93.21659851,test,Associate Professor,,"African American & African Studies,Classical Civilization Program,Classical and Near Eastern Studies,Communication Studies,Community Service-Learning Center,Cultural Studies and Comparative Literature,English,American Indian Studies,German, Scandinavian and Dutch,Global Studies, Institute for,History,Human Rights Program,Journalism and Mass Communication, School of,Linguistics, Institute of,Minnesota Journalism Center,Music, School of,New Media Studies, Institute for,American Studies,Off-Campus Study Programs,Philosophy,Political Science,Psychology,Religious Studies,Silha Center-Study of Media Ethics and Law,Slavic Languages and Literatures,Sociology,Spanish and Portuguese Studies,Speech-Language-Hearing Science,Anthropology,Statistics, School of,Urban Studies,Writing Studies,Writing, Center for,Art,Asian American Studies Program,Chicano & Latino Studies",I do not use or produce data in my research,Yes,32,89,100,"Data automatically generated from or by computer programs (e.g., simulations),Fieldwork data,Laboratory notes,Photo collection,Video tapes,Audio tapes,Slides,Documents or reports,Patient records,Data collected from sensors or instruments (including questionnaires),Images, scans or x-rays,Websites,MS Word files,Excel sheets,SPSS, STATA, SAS, or R files,Digital audio files,Digital video files",,Current support meets my needs,Current support meets my needs,,I don't need support,,"The principal investigator,The graduate student working on the project,The research assistant working on the project,Other (please specify)",None of my data are openly available at this time,"lack of funding,worried about getting ""scooped"" (e.g., someone else publishing on your data/ideas before you do),other (please describe),lack of a standard in my field,people don't need access to them,insufficient time to make them available,they shouldn't be available,privacy/HIPAA concerns,sponsor doesn't require sharing",with use restricted to research or teaching.,,Yes,,,,5,,,,Somewhat useful,Somewhat useful,Never used,Very useful,Not useful,,
11/7/16 12:32,11/7/16 12:32,Survey Test,,100,0,TRUE,11/7/16 12:32,R_3OiHQQijUEDeA1T,,,,,44.97590637,-93.21659851,test,Assistant Professor,,"Classical Civilization Program,Geography, Environment and Society,Global Studies, Institute for,Linguistics, Institute of,American Studies,Off-Campus Study Programs,Philosophy,Silha Center-Study of Media Ethics and Law,Writing Studies,Writing, Center for",,,35,39,29,"Data automatically generated from or by computer programs (e.g., simulations),Fieldwork data,Laboratory notes,Photo collection,Video tapes,Audio tapes,Slides,Documents or reports,Patient records,Other (please specify),Images, scans or x-rays,Websites,MS Word files,Excel sheets,SPSS, STATA, SAS, or R files,Digital audio files",,I would like more support,I would like more support,I would like more support,I don't need support,I don't need support,"The principal investigator,The research assistant working on the project",None of my data are openly available at this time,"insufficient time to make them available,sponsor doesn't require sharing",with use restricted to research or teaching.,,No,,,,9999,5,I don't know,,Never used,Very useful,,,,,
11/7/16 12:32,11/7/16 12:32,Survey Test,,100,0,TRUE,11/7/16 12:32,R_1NOGIGa8casfp4x,,,,,44.97590637,-93.21659851,test,Assistant Professor,,"African American & African Studies,Classical Civilization Program,Classical and Near Eastern Studies,Communication Studies,Community Service-Learning Center,Cultural Studies and Comparative Literature,Economics,English,French and Italian,Gender, Women, and Sexuality Studies,Geography, Environment and Society,American Indian Studies,German, Scandinavian and Dutch,Global Studies, Institute for,Human Rights Program,Journalism and Mass Communication, School of,Life Course Center,Linguistics, Institute of,Minnesota Journalism Center,Music, School of,New Media Studies, Institute for,American Studies,Off-Campus Study Programs,Philosophy,Political Science,Psychology,Religious Studies,Slavic Languages and Literatures,Sociology,Spanish and Portuguese Studies,Speech-Language-Hearing Science,Anthropology,Statistics, School of,Theatre Arts and Dance,Urban Studies,Writing, Center for,Art,Art History,Asian American Studies Program,Chicano & Latino Studies",Equal amounts of quantitative and qualitative data,,79,17,73,"Video tapes,Slides,Documents or reports,Other (please specify),Data collected from sensors or instruments (including questionnaires),Websites,MS Word files,Digital audio files",Current support meets my needs,,,I don't need support,,I would like more support,"The principal investigator,The graduate student working on the project,The research assistant working on the project,Other (please specify)","Yes, they are available on my personal, lab_ã_s, department_ã_s website.,Yes, they are available through a national archive or repository.","lack of funding,other (please describe),no place to store them,lack of a standard in my field,don't know how,privacy/HIPAA concerns,sponsor doesn't require sharing",,,,,,,,,No,No,,Never used,Very useful,Not useful,Never used,,
11/7/16 12:32,11/7/16 12:32,Survey Test,,100,0,TRUE,11/7/16 12:32,R_8c6K4I7s0EKaZ8h,,,,,44.97590637,-93.21659851,test,Other (please specify),"Ultricies sem culpa praesent ut laoreet, felis pharetra convallis. Phasellus platea faucibus.","African American & African Studies,Classical Civilization Program,Classical and Near Eastern Studies,Communication Studies,Community Service-Learning Center,Cultural Studies and Comparative Literature,Economics,English,French and Italian,Gender, Women, and Sexuality Studies,Geography, Environment and Society,American Indian Studies,German, Scandinavian and Dutch,Global Studies, Institute for,History,Human Rights Program,Journalism and Mass Communication, School of,Life Course Center,Linguistics, Institute of,Minnesota Journalism Center,Music, School of,New Media Studies, Institute for,American Studies,Off-Campus Study Programs,Philosophy,Political Science,Psychology,Religious Studies,Silha Center-Study of Media Ethics and Law,Slavic Languages and Literatures,Sociology,Spanish and Portuguese Studies,Speech-Language-Hearing Science,Anthropology,Statistics, School of,Theatre Arts and Dance,Urban Studies,Writing Studies,Writing, Center for,Art,Art History,Asian American Studies Program,Asian Languages and Literature Program,Chicano & Latino Studies",I do not use or produce data in my research,,79,19,57,"Data automatically generated from or by computer programs (e.g., simulations),Fieldwork data,Laboratory notes,Photo collection,Video tapes,Audio tapes,Documents or reports,Patient records,Other (please specify),Data collected from sensors or instruments (including questionnaires),Images, scans or x-rays,Websites,MS Word files,Excel sheets,SPSS, STATA, SAS, or R files,Digital audio files,Digital video files",,,Current support meets my needs,I don't need support,I don't need support,,"The principal investigator,The graduate student working on the project,The research assistant working on the project,Other (please specify)","Yes, they are available on my personal, lab_ã_s, department_ã_s website.,Yes, they are available through a national archive or repository.,Yes, they are available through University of Minnesota_ã_s Digital Content Library.","insufficient time to make them available,they shouldn't be available",I would not be willing to make my data available for reuse.,,No,,,,,9999,,I don't know,Somewhat useful,,,Never used,Very useful,Not useful,
11/7/16 12:32,11/7/16 12:32,Survey Test,,100,0,TRUE,11/7/16 12:32,R_cVhcAIvmD2C4TRj,,,,,44.97590637,-93.21659851,test,Full Professor,,"Communication Studies,Community Service-Learning Center,Economics,French and Italian,Human Rights Program,Life Course Center,Philosophy,Psychology,Urban Studies,Art",Equal amounts of quantitative and qualitative data,,43,60,94,"Video tapes,Audio tapes,Patient records,Data collected from sensors or instruments (including questionnaires),Websites,MS Word files,Excel sheets,Digital audio files",,,I would like more support,,I don't need support,,"The principal investigator,The graduate student working on the project,The research assistant working on the project,Other (please specify)",None of my data are openly available at this time,"lack of funding,worried about getting ""scooped"" (e.g., someone else publishing on your data/ideas before you do),other (please describe),no place to store them,lack of a standard in my field,people don't need access to them,insufficient time to make them available,they shouldn't be available,privacy/HIPAA concerns",,,,,,,5,,I don't know,Yes,,Never used,Very useful,,Very useful,,Not useful
11/7/16 12:32,11/7/16 12:32,Survey Test,,100,0,TRUE,11/7/16 12:32,R_6nHZ3kgkuPjLKNn,,,,,44.97590637,-93.21659851,test,Post Doctoral Student,,"African American & African Studies,Communication Studies,Community Service-Learning Center,English,Gender, Women, and Sexuality Studies,German, Scandinavian and Dutch,Global Studies, Institute for,Human Rights Program,Life Course Center,Linguistics, Institute of,Minnesota Journalism Center,Music, School of,New Media Studies, Institute for,Psychology,Silha Center-Study of Media Ethics and Law,Sociology,Urban Studies,Writing Studies,Writing, Center for,Art,Art History,Chicano & Latino Studies",Mostly quantitative,,47,19,82,"Photo collection,Slides,Patient records,Data collected from sensors or instruments (including questionnaires),Images, scans or x-rays,Websites,MS Word files,Excel sheets,SPSS, STATA, SAS, or R files,Digital audio files,Digital video files",Current support meets my needs,,,,,,"The principal investigator,The graduate student working on the project,The research assistant working on the project,Other (please specify)",None of my data are openly available at this time,"lack of funding,other (please describe),no place to store them,don't know how,people don't need access to them,insufficient time to make them available,they shouldn't be available",if I had control over granting access on a case by case basis.,,,,,,2,2,Yes,Yes,Somewhat useful,,,,Very useful,Never used,
11/7/16 12:32,11/7/16 12:32,Survey Test,,100,0,TRUE,11/7/16 12:32,R_brz1YvaCIYjeS1L,,,,,44.97590637,-93.21659851,test,Research Associate,,"African American & African Studies,Classical Civilization Program,Cultural Studies and Comparative Literature,English,Geography, Environment and Society,Journalism and Mass Communication, School of,Life Course Center,Linguistics, Institute of,Minnesota Journalism Center,Off-Campus Study Programs,Philosophy,Religious Studies,Silha Center-Study of Media Ethics and Law,Sociology,Speech-Language-Hearing Science,Anthropology,Statistics, School of,Urban Studies,Writing Studies,Art History,Asian Languages and Literature Program",I do not use or produce data in my research,,15,30,56,"Data automatically generated from or by computer programs (e.g., simulations),Laboratory notes,Photo collection,Audio tapes,Slides,Patient records,Other (please specify),Websites,MS Word files,Excel sheets,Digital audio files",I don't need support,,,I don't need support,,,"The principal investigator,The graduate student working on the project,The research assistant working on the project,Other (please specify)",None of my data are openly available at this time,"don't know how,they shouldn't be available,sponsor doesn't require sharing",with use restricted to research only.,,Don't know,,,,5,2,I don't know,No,Never used,Not useful,,Not useful,,,Very useful
11/7/16 12:32,11/7/16 12:32,Survey Test,,100,0,TRUE,11/7/16 12:32,R_3eNDe3XJsPcMG69,,,,,44.97590637,-93.21659851,test,Post Doctoral Student,,"Psychology,Silha Center-Study of Media Ethics and Law,Speech-Language-Hearing Science",,,6,27,46,"Data automatically generated from or by computer programs (e.g., simulations),Fieldwork data,Photo collection,Video tapes,Audio tapes,Documents or reports,Patient records,Data collected from sensors or instruments (including questionnaires),Images, scans or x-rays,Digital audio files",I don't need support,I would like more support,,,,,"The principal investigator,The graduate student working on the project,The research assistant working on the project,Other (please specify)",None of my data are openly available at this time,"worried about getting ""scooped"" (e.g., someone else publishing on your data/ideas before you do),other (please describe),no place to store them,lack of a standard in my field,don't know how,insufficient time to make them available,privacy/HIPAA concerns,sponsor doesn't require sharing",if I had control over granting access on a case by case basis.,,Yes,,,,,4,Yes,Yes,Never used,,Not useful,,Not useful,Very useful,
11/7/16 12:32,11/7/16 12:32,Survey Test,,100,0,TRUE,11/7/16 12:32,R_bBGohfyS1cxJr6Z,,,,,44.97590637,-93.21659851,test,Post Doctoral Student,,"Community Service-Learning Center,Cultural Studies and Comparative Literature,Global Studies, Institute for,Journalism and Mass Communication, School of,Life Course Center,Music, School of,Philosophy,Political Science,Urban Studies,Asian American Studies Program,Chicano & Latino Studies",,,87,54,2,"Data automatically generated from or by computer programs (e.g., simulations),Fieldwork data,Laboratory notes,Photo collection,Video tapes,Audio tapes,Documents or reports,Patient records,Other (please specify),Data collected from sensors or instruments (including questionnaires),Images, scans or x-rays,MS Word files,Excel sheets,SPSS, STATA, SAS, or R files,Digital audio files",,,,,I would like more support,I don't need support,"The principal investigator,The graduate student working on the project,Other (please specify)","Yes, they are available on my personal, lab_ã_s, department_ã_s website.,Yes, they are available through a national archive or repository.,Yes, they are available through University of Minnesota_ã_s Digital Content Library.","lack of funding,worried about getting ""scooped"" (e.g., someone else publishing on your data/ideas before you do),other (please describe),no place to store them,don't know how,they shouldn't be available,privacy/HIPAA concerns,sponsor doesn't require sharing",if I had control over granting access on a case by case basis.,,Don't know,,,,4,,No,No,Never used,Somewhat useful,Not useful,,,,Not useful
